Time differences (ps),Counts per bin,g2_normalized
-150000,207,0.9257503596543744
-149900,212,0.9481114794527892
-149800,192,0.8586670002591298
-149700,182,0.8139447606623001
-149600,198,0.8855003440172277
-149500,200,0.8944447919365935
-149400,208,0.9302225836140573
-149300,236,1.0554448544851804
-149200,217,0.970472599251204
-149100,200,0.8944447919365935
-149000,229,1.0241392867673995
-148900,216,0.966000375291521
-148800,200,0.8944447919365935
-148700,221,0.9883614950899359
-148600,218,0.9749448232108869
-148500,252,1.127000437840108
-148400,220,0.9838892711302529
-148300,207,0.9257503596543744
-148200,242,1.082278198243278
-148100,196,0.8765558960978617
-148000,229,1.0241392867673995
-147900,210,0.9391670315334232
-147800,244,1.0912226461626442
-147700,175,0.7826391929445193
-147600,218,0.9749448232108869
-147500,192,0.8586670002591298
-147400,200,0.8944447919365935
-147300,192,0.8586670002591298
-147200,211,0.9436392554931062
-147100,214,0.9570559273721551
-147000,220,0.9838892711302529
-146900,190,0.8497225523397639
-146800,216,0.966000375291521
-146700,195,0.8720836721381787
-146600,219,0.97941704717057
-146500,212,0.9481114794527892
-146400,248,1.109111542001376
-146300,204,0.9123336877753254
-146200,213,0.9525837034124721
-146100,215,0.9615281513318381
-146000,216,0.966000375291521
-145900,210,0.9391670315334232
-145800,196,0.8765558960978617
-145700,202,0.9033892398559595
-145600,238,1.0643893024045463
-145500,214,0.9570559273721551
-145400,229,1.0241392867673995
-145300,206,0.9212781356946913
-145200,235,1.0509726305254974
-145100,213,0.9525837034124721
-145000,220,0.9838892711302529
-144900,209,0.9346948075737402
-144800,239,1.0688615263642294
-144700,206,0.9212781356946913
-144600,221,0.9883614950899359
-144500,210,0.9391670315334232
-144400,237,1.0599170784448633
-144300,224,1.0017781669689847
-144200,195,0.8720836721381787
-144100,194,0.8676114481784958
-144000,223,0.9973059430093018
-143900,230,1.0286115107270826
-143800,208,0.9302225836140573
-143700,198,0.8855003440172277
-143600,215,0.9615281513318381
-143500,184,0.822889208581666
-143400,206,0.9212781356946913
-143300,193,0.8631392242188127
-143200,219,0.97941704717057
-143100,226,1.0107226148883508
-143000,222,0.9928337190496188
-142900,222,0.9928337190496188
-142800,189,0.8452503283800809
-142700,218,0.9749448232108869
-142600,213,0.9525837034124721
-142500,208,0.9302225836140573
-142400,219,0.97941704717057
-142300,201,0.8989170158962765
-142200,201,0.8989170158962765
-142100,185,0.8273614325413491
-142000,208,0.9302225836140573
-141900,197,0.8810281200575446
-141800,226,1.0107226148883508
-141700,194,0.8676114481784958
-141600,238,1.0643893024045463
-141500,180,0.8050003127429342
-141400,240,1.0733337503239122
-141300,200,0.8944447919365935
-141200,219,0.97941704717057
-141100,233,1.0420281826061315
-141000,199,0.8899725679769106
-140900,206,0.9212781356946913
-140800,204,0.9123336877753254
-140700,200,0.8944447919365935
-140600,227,1.0151948388480336
-140500,215,0.9615281513318381
-140400,239,1.0688615263642294
-140300,205,0.9168059117350084
-140200,225,1.0062503909286677
-140100,203,0.9078614638156425
-140000,222,0.9928337190496188
-139900,218,0.9749448232108869
-139800,194,0.8676114481784958
-139700,214,0.9570559273721551
-139600,212,0.9481114794527892
-139500,234,1.0465004065658146
-139400,223,0.9973059430093018
-139300,192,0.8586670002591298
-139200,259,1.1583060055578887
-139100,211,0.9436392554931062
-139000,208,0.9302225836140573
-138900,213,0.9525837034124721
-138800,219,0.97941704717057
-138700,226,1.0107226148883508
-138600,218,0.9749448232108869
-138500,218,0.9749448232108869
-138400,231,1.0330837346867656
-138300,218,0.9749448232108869
-138200,221,0.9883614950899359
-138100,221,0.9883614950899359
-138000,228,1.0196670628077167
-137900,215,0.9615281513318381
-137800,214,0.9570559273721551
-137700,208,0.9302225836140573
-137600,219,0.97941704717057
-137500,215,0.9615281513318381
-137400,227,1.0151948388480336
-137300,215,0.9615281513318381
-137200,234,1.0465004065658146
-137100,238,1.0643893024045463
-137000,196,0.8765558960978617
-136900,226,1.0107226148883508
-136800,218,0.9749448232108869
-136700,222,0.9928337190496188
-136600,227,1.0151948388480336
-136500,195,0.8720836721381787
-136400,216,0.966000375291521
-136300,186,0.831833656501032
-136200,218,0.9749448232108869
-136100,238,1.0643893024045463
-136000,206,0.9212781356946913
-135900,219,0.97941704717057
-135800,219,0.97941704717057
-135700,192,0.8586670002591298
-135600,231,1.0330837346867656
-135500,198,0.8855003440172277
-135400,201,0.8989170158962765
-135300,229,1.0241392867673995
-135200,207,0.9257503596543744
-135100,215,0.9615281513318381
-135000,200,0.8944447919365935
-134900,235,1.0509726305254974
-134800,223,0.9973059430093018
-134700,199,0.8899725679769106
-134600,204,0.9123336877753254
-134500,233,1.0420281826061315
-134400,232,1.0375559586464485
-134300,202,0.9033892398559595
-134200,214,0.9570559273721551
-134100,216,0.966000375291521
-134000,203,0.9078614638156425
-133900,196,0.8765558960978617
-133800,236,1.0554448544851804
-133700,214,0.9570559273721551
-133600,207,0.9257503596543744
-133500,200,0.8944447919365935
-133400,237,1.0599170784448633
-133300,225,1.0062503909286677
-133200,202,0.9033892398559595
-133100,195,0.8720836721381787
-133000,210,0.9391670315334232
-132900,221,0.9883614950899359
-132800,226,1.0107226148883508
-132700,214,0.9570559273721551
-132600,193,0.8631392242188127
-132500,238,1.0643893024045463
-132400,238,1.0643893024045463
-132300,214,0.9570559273721551
-132200,217,0.970472599251204
-132100,219,0.97941704717057
-132000,223,0.9973059430093018
-131900,213,0.9525837034124721
-131800,210,0.9391670315334232
-131700,231,1.0330837346867656
-131600,230,1.0286115107270826
-131500,202,0.9033892398559595
-131400,248,1.109111542001376
-131300,209,0.9346948075737402
-131200,240,1.0733337503239122
-131100,204,0.9123336877753254
-131000,228,1.0196670628077167
-130900,211,0.9436392554931062
-130800,201,0.8989170158962765
-130700,201,0.8989170158962765
-130600,237,1.0599170784448633
-130500,210,0.9391670315334232
-130400,184,0.822889208581666
-130300,222,0.9928337190496188
-130200,209,0.9346948075737402
-130100,232,1.0375559586464485
-130000,227,1.0151948388480336
-129900,249,1.113583765961059
-129800,210,0.9391670315334232
-129700,237,1.0599170784448633
-129600,222,0.9928337190496188
-129500,207,0.9257503596543744
-129400,229,1.0241392867673995
-129300,218,0.9749448232108869
-129200,211,0.9436392554931062
-129100,189,0.8452503283800809
-129000,216,0.966000375291521
