Time differences (ps),Counts per bin,g2_normalized
-150000,59,1.1127461139896373
-149900,48,0.9052849740932642
-149800,48,0.9052849740932642
-149700,69,1.3013471502590674
-149600,50,0.9430051813471503
-149500,56,1.0561658031088084
-149400,42,0.7921243523316063
-149300,58,1.0938860103626944
-149200,47,0.8864248704663212
-149100,67,1.2636269430051814
-149000,44,0.8298445595854922
-148900,52,0.9807253886010363
-148800,52,0.9807253886010363
-148700,44,0.8298445595854922
-148600,47,0.8864248704663212
-148500,51,0.9618652849740933
-148400,55,1.0373056994818652
-148300,53,0.9995854922279793
-148200,44,0.8298445595854922
-148100,45,0.8487046632124352
-148000,55,1.0373056994818652
-147900,66,1.2447668393782383
-147800,47,0.8864248704663212
-147700,48,0.9052849740932642
-147600,45,0.8487046632124352
-147500,55,1.0373056994818652
-147400,44,0.8298445595854922
-147300,47,0.8864248704663212
-147200,50,0.9430051813471503
-147100,51,0.9618652849740933
-147000,55,1.0373056994818652
-146900,54,1.0184455958549223
-146800,51,0.9618652849740933
-146700,45,0.8487046632124352
-146600,48,0.9052849740932642
-146500,53,0.9995854922279793
-146400,57,1.0750259067357513
-146300,59,1.1127461139896373
-146200,49,0.9241450777202073
-146100,48,0.9052849740932642
-146000,47,0.8864248704663212
-145900,51,0.9618652849740933
-145800,44,0.8298445595854922
-145700,49,0.9241450777202073
-145600,51,0.9618652849740933
-145500,62,1.1693264248704662
-145400,52,0.9807253886010363
-145300,74,1.3956476683937824
-145200,62,1.1693264248704662
-145100,49,0.9241450777202073
-145000,50,0.9430051813471503
-144900,53,0.9995854922279793
-144800,44,0.8298445595854922
-144700,52,0.9807253886010363
-144600,40,0.7544041450777202
-144500,59,1.1127461139896373
-144400,54,1.0184455958549223
-144300,59,1.1127461139896373
-144200,69,1.3013471502590674
-144100,42,0.7921243523316063
-144000,47,0.8864248704663212
-143900,51,0.9618652849740933
-143800,49,0.9241450777202073
-143700,46,0.8675647668393782
-143600,56,1.0561658031088084
-143500,56,1.0561658031088084
-143400,59,1.1127461139896373
-143300,53,0.9995854922279793
-143200,47,0.8864248704663212
-143100,57,1.0750259067357513
-143000,43,0.8109844559585492
-142900,47,0.8864248704663212
-142800,60,1.1316062176165804
-142700,53,0.9995854922279793
-142600,60,1.1316062176165804
-142500,40,0.7544041450777202
-142400,43,0.8109844559585492
-142300,49,0.9241450777202073
-142200,60,1.1316062176165804
-142100,66,1.2447668393782383
-142000,60,1.1316062176165804
-141900,55,1.0373056994818652
-141800,45,0.8487046632124352
-141700,53,0.9995854922279793
-141600,63,1.1881865284974094
-141500,36,0.6789637305699482
-141400,59,1.1127461139896373
-141300,64,1.2070466321243523
-141200,63,1.1881865284974094
-141100,55,1.0373056994818652
-141000,56,1.0561658031088084
-140900,45,0.8487046632124352
-140800,53,0.9995854922279793
-140700,32,0.6035233160621761
-140600,50,0.9430051813471503
-140500,43,0.8109844559585492
-140400,66,1.2447668393782383
-140300,48,0.9052849740932642
-140200,44,0.8298445595854922
-140100,52,0.9807253886010363
-140000,52,0.9807253886010363
-139900,38,0.7166839378238342
-139800,44,0.8298445595854922
-139700,53,0.9995854922279793
-139600,48,0.9052849740932642
-139500,55,1.0373056994818652
-139400,58,1.0938860103626944
-139300,50,0.9430051813471503
-139200,59,1.1127461139896373
-139100,45,0.8487046632124352
-139000,45,0.8487046632124352
-138900,51,0.9618652849740933
-138800,53,0.9995854922279793
-138700,64,1.2070466321243523
-138600,57,1.0750259067357513
-138500,53,0.9995854922279793
-138400,48,0.9052849740932642
-138300,45,0.8487046632124352
-138200,47,0.8864248704663212
-138100,52,0.9807253886010363
-138000,60,1.1316062176165804
-137900,53,0.9995854922279793
-137800,58,1.0938860103626944
-137700,53,0.9995854922279793
-137600,54,1.0184455958549223
-137500,66,1.2447668393782383
-137400,47,0.8864248704663212
-137300,46,0.8675647668393782
-137200,51,0.9618652849740933
-137100,67,1.2636269430051814
-137000,57,1.0750259067357513
-136900,58,1.0938860103626944
-136800,50,0.9430051813471503
-136700,48,0.9052849740932642
-136600,49,0.9241450777202073
-136500,49,0.9241450777202073
-136400,55,1.0373056994818652
-136300,47,0.8864248704663212
-136200,43,0.8109844559585492
-136100,54,1.0184455958549223
-136000,51,0.9618652849740933
-135900,56,1.0561658031088084
-135800,44,0.8298445595854922
-135700,52,0.9807253886010363
-135600,53,0.9995854922279793
-135500,55,1.0373056994818652
-135400,48,0.9052849740932642
-135300,57,1.0750259067357513
-135200,42,0.7921243523316063
-135100,60,1.1316062176165804
-135000,56,1.0561658031088084
-134900,61,1.1504663212435233
-134800,67,1.2636269430051814
-134700,60,1.1316062176165804
-134600,52,0.9807253886010363
-134500,53,0.9995854922279793
-134400,67,1.2636269430051814
-134300,44,0.8298445595854922
-134200,53,0.9995854922279793
-134100,68,1.2824870466321243
-134000,56,1.0561658031088084
-133900,61,1.1504663212435233
-133800,44,0.8298445595854922
-133700,50,0.9430051813471503
-133600,54,1.0184455958549223
-133500,52,0.9807253886010363
-133400,49,0.9241450777202073
-133300,45,0.8487046632124352
-133200,52,0.9807253886010363
-133100,53,0.9995854922279793
-133000,52,0.9807253886010363
-132900,50,0.9430051813471503
-132800,50,0.9430051813471503
-132700,57,1.0750259067357513
-132600,47,0.8864248704663212
-132500,65,1.2259067357512954
-132400,60,1.1316062176165804
-132300,47,0.8864248704663212
-132200,59,1.1127461139896373
-132100,65,1.2259067357512954
-132000,56,1.0561658031088084
-131900,48,0.9052849740932642
-131800,52,0.9807253886010363
-131700,57,1.0750259067357513
-131600,54,1.0184455958549223
-131500,50,0.9430051813471503
-131400,59,1.1127461139896373
-131300,40,0.7544041450777202
-131200,55,1.0373056994818652
-131100,49,0.9241450777202073
-131000,58,1.0938860103626944
-130900,47,0.8864248704663212
-130800,51,0.9618652849740933
-130700,60,1.1316062176165804
-130600,59,1.1127461139896373
-130500,50,0.9430051813471503
-130400,65,1.2259067357512954
-130300,60,1.1316062176165804
-130200,52,0.9807253886010363
-130100,52,0.9807253886010363
-130000,37,0.6978238341968912
-129900,54,1.0184455958549223
-129800,58,1.0938860103626944
-129700,51,0.9618652849740933
-129600,49,0.9241450777202073
-129500,58,1.0938860103626944
-129400,46,0.8675647668393782
-129300,54,1.0184455958549223
-129200,52,0.9807253886010363
-129100,55,1.0373056994818652
-129000,52,0.9807253886010363
-128900,65,1.2259067357512954
-128800,56,1.0561658031088084
-128700,55,1.0373056994818652
-128600,56,1.0561658031088084
-128500,47,0.8864248704663212
-128400,59,1.1127461139896373
-128300,64,1.2070466321243523
-128200,52,0.9807253886010363
-128100,56,1.0561658031088084
-128000,62,1.1693264248704662
-127900,52,0.9807253886010363
-127800,41,0.7732642487046633
-127700,52,0.9807253886010363
-127600,53,0.9995854922279793
-127500,50,0.9430051813471503
-127400,77,1.4522279792746113
-127300,52,0.9807253886010363
-127200,49,0.9241450777202073
-127100,63,1.1881865284974094
-127000,45,0.8487046632124352
-126900,65,1.2259067357512954
-126800,51,0.9618652849740933
-126700,46,0.8675647668393782
-126600,43,0.8109844559585492
-126500,54,1.0184455958549223
-126400,64,1.2070466321243523
-126300,45,0.8487046632124352
-126200,51,0.9618652849740933
-126100,54,1.0184455958549223
-126000,43,0.8109844559585492
-125900,53,0.9995854922279793
-125800,53,0.9995854922279793
-125700,57,1.0750259067357513
-125600,55,1.0373056994818652
-125500,63,1.1881865284974094
-125400,51,0.9618652849740933
-125300,49,0.9241450777202073
-125200,58,1.0938860103626944
-125100,52,0.9807253886010363
