Time differences (ps),Counts per bin,g2_normalized
-150000,424,0.9812228063604795
-149900,410,0.9488239401127279
-149800,423,0.9789086016284974
-149700,419,0.9696517827005683
-149600,424,0.9812228063604795
-149500,420,0.9719659874325506
-149400,421,0.9742801921645328
-149300,471,1.089990428763646
-149200,426,0.9858512158244441
-149100,449,1.0390779246600361
-149000,416,0.9627091685046215
-148900,442,1.0228784915361604
-148800,412,0.9534523495766924
-148700,446,1.0321353104640894
-148600,424,0.9812228063604795
-148500,379,0.8770835934212777
-148400,419,0.9696517827005683
-148300,424,0.9812228063604795
-148200,432,0.9997364442163377
-148100,395,0.914110869132994
-148000,394,0.9117966644010117
-147900,427,0.9881654205564264
-147800,411,0.9511381448447102
-147700,447,1.0344495151960715
-147600,415,0.9603949637726392
-147500,401,0.9279960975248875
-147400,395,0.914110869132994
-147300,437,1.011307467876249
-147200,456,1.055277357783912
-147100,396,0.9164250738649762
-147000,384,0.8886546170811891
-146900,407,0.9418813259167811
-146800,435,1.0066790584122844
-146700,400,0.9256818927929052
-146600,475,1.0992472476915751
-146500,428,0.9904796252884086
-146400,409,0.9465097353807457
-146300,445,1.0298211057321072
-146200,431,0.9974222394843554
-146100,428,0.9904796252884086
-146000,475,1.0992472476915751
-145900,407,0.9418813259167811
-145800,424,0.9812228063604795
-145700,420,0.9719659874325506
-145600,444,1.0275069010001248
-145500,413,0.9557665543086747
-145400,410,0.9488239401127279
-145300,405,0.9372529164528166
-145200,453,1.0483347435879653
-145100,419,0.9696517827005683
-145000,427,0.9881654205564264
-144900,399,0.923367688060923
-144800,406,0.9395671211847989
-144700,450,1.0413921293920185
-144600,409,0.9465097353807457
-144500,394,0.9117966644010117
-144400,391,0.9048540502050649
-144300,403,0.932624506988852
-144200,423,0.9789086016284974
-144100,449,1.0390779246600361
-144000,409,0.9465097353807457
-143900,385,0.8909688218131713
-143800,415,0.9603949637726392
-143700,405,0.9372529164528166
-143600,395,0.914110869132994
-143500,414,0.9580807590406569
-143400,407,0.9418813259167811
-143300,456,1.055277357783912
-143200,462,1.0691625861758056
-143100,443,1.0251926962681426
-143000,426,0.9858512158244441
-142900,444,1.0275069010001248
-142800,403,0.932624506988852
-142700,405,0.9372529164528166
-142600,445,1.0298211057321072
-142500,442,1.0228784915361604
