"Time differences (ps)"	"Counts per bin"
-150000	424
-149900	410
-149800	423
-149700	419
-149600	424
-149500	420
-149400	421
-149300	471
-149200	426
-149100	449
-149000	416
-148900	442
-148800	412
-148700	446
-148600	424
-148500	379
-148400	419
-148300	424
-148200	432
-148100	395
-148000	394
-147900	427
-147800	411
-147700	447
-147600	415
-147500	401
-147400	395
-147300	437
-147200	456
-147100	396
-147000	384
-146900	407
-146800	435
-146700	400
-146600	475
-146500	428
-146400	409
-146300	445
-146200	431
-146100	428
-146000	475
-145900	407
-145800	424
-145700	420
-145600	444
-145500	413
-145400	410
-145300	405
-145200	453
-145100	419
-145000	427
-144900	399
-144800	406
-144700	450
-144600	409
-144500	394
-144400	391
-144300	403
-144200	423
-144100	449
-144000	409
-143900	385
-143800	415
-143700	405
-143600	395
-143500	414
-143400	407
-143300	456
-143200	462
-143100	443
-143000	426
-142900	444
-142800	403
-142700	405
-142600	445
-142500	442
-142400	409
-142300	458
-142200	425
-142100	424
-142000	416
-141900	408
-141800	417
-141700	424
-141600	433
-141500	422
-141400	415
-141300	455
-141200	417
-141100	424
-141000	424
-140900	401
-140800	426
-140700	423
-140600	443
-140500	431
-140400	434
-140300	437
-140200	426
-140100	441
-140000	421
-139900	442
-139800	395
-139700	406
-139600	437
-139500	396
-139400	430
-139300	384
-139200	453
-139100	399
-139000	433
-138900	410
-138800	411
-138700	411
-138600	448
-138500	405
-138400	433
-138300	417
-138200	432
-138100	459
-138000	393
-137900	405
-137800	439
-137700	426
-137600	435
-137500	443
-137400	403
-137300	371
-137200	423
-137100	415
-137000	389
-136900	401
-136800	424
-136700	437
-136600	420
-136500	419
-136400	397
-136300	434
-136200	408
-136100	433
-136000	423
-135900	441
-135800	428
-135700	405
-135600	407
-135500	413
-135400	446
-135300	414
-135200	428
-135100	419
-135000	411
-134900	425
-134800	419
-134700	431
-134600	406
-134500	384
-134400	426
-134300	456
-134200	396
-134100	400
-134000	393
-133900	464
-133800	422
-133700	449
-133600	454
-133500	394
-133400	444
-133300	420
-133200	424
-133100	426
-133000	436
-132900	425
-132800	418
-132700	425
-132600	421
-132500	416
-132400	435
-132300	444
-132200	425
-132100	427
-132000	397
-131900	389
-131800	431
-131700	444
-131600	409
-131500	432
-131400	427
-131300	431
-131200	439
-131100	415
-131000	403
-130900	426
-130800	450
-130700	381
-130600	413
-130500	419
-130400	416
-130300	413
-130200	407
-130100	426
-130000	423
-129900	476
-129800	423
-129700	470
-129600	453
-129500	421
-129400	437
-129300	421
-129200	394
-129100	449
-129000	413
-128900	413
-128800	431
-128700	402
-128600	416
-128500	417
-128400	441
-128300	457
-128200	435
-128100	456
-128000	418
-127900	381
-127800	402
-127700	415
-127600	411
-127500	396
-127400	452
-127300	470
-127200	424
-127100	454
-127000	435
-126900	435
-126800	446
-126700	401
-126600	437
-126500	388
-126400	420
-126300	426
-126200	436
-126100	444
-126000	447
-125900	411
-125800	419
-125700	445
-125600	415
-125500	437
-125400	430
-125300	413
-125200	414
-125100	452
-125000	432
-124900	450
-124800	458
-124700	405
-124600	447
-124500	424
-124400	396
-124300	441
-124200	410
-124100	412
-124000	463
-123900	427
-123800	453
-123700	430
-123600	420
-123500	446
-123400	400
-123300	414
-123200	387
-123100	432
-123000	450
-122900	408
-122800	446
-122700	424
-122600	410
-122500	446
-122400	460
-122300	415
-122200	428
-122100	428
-122000	423
-121900	439
-121800	418
-121700	469
-121600	431
-121500	430
-121400	417
-121300	397
-121200	448
-121100	441
-121000	418
-120900	441
-120800	420
-120700	438
-120600	399
-120500	443
-120400	448
-120300	441
-120200	446
-120100	405
-120000	480
-119900	423
-119800	418
-119700	426
-119600	449
-119500	413
-119400	443
-119300	428
-119200	484
-119100	432
-119000	415
-118900	444
-118800	466
-118700	426
-118600	425
-118500	448
-118400	443
-118300	406
-118200	448
-118100	412
-118000	464
-117900	441
-117800	422
-117700	400
-117600	432
-117500	445
-117400	415
-117300	444
-117200	437
-117100	439
-117000	472
-116900	444
-116800	427
-116700	412
-116600	445
-116500	458
-116400	411
-116300	439
-116200	449
-116100	424
-116000	429
-115900	411
-115800	426
-115700	407
-115600	418
-115500	413
-115400	489
-115300	433
-115200	440
-115100	433
-115000	435
-114900	437
-114800	413
-114700	457
-114600	442
-114500	421
-114400	433
-114300	448
-114200	420
-114100	452
-114000	422
-113900	409
-113800	436
-113700	421
-113600	415
-113500	419
-113400	436
-113300	426
-113200	399
-113100	417
-113000	402
-112900	443
-112800	452
-112700	440
-112600	417
-112500	426
-112400	416
-112300	454
-112200	396
-112100	452
-112000	434
-111900	446
-111800	440
-111700	425
-111600	442
-111500	406
-111400	419
-111300	442
-111200	427
-111100	457
-111000	411
-110900	408
-110800	489
-110700	431
-110600	454
-110500	402
-110400	427
-110300	429
-110200	457
-110100	421
-110000	399
-109900	462
-109800	436
-109700	452
-109600	427
-109500	423
-109400	405
-109300	424
-109200	449
-109100	475
-109000	450
-108900	412
-108800	407
-108700	405
-108600	453
-108500	428
-108400	431
-108300	435
-108200	468
-108100	453
-108000	465
-107900	443
-107800	432
-107700	438
-107600	423
-107500	425
-107400	465
-107300	455
-107200	442
-107100	448
-107000	441
-106900	455
-106800	441
-106700	449
-106600	431
-106500	438
-106400	435
-106300	416
-106200	421
-106100	453
-106000	447
-105900	440
-105800	442
-105700	436
-105600	408
-105500	441
-105400	475
-105300	409
-105200	439
-105100	442
-105000	430
-104900	450
-104800	438
-104700	483
-104600	458
-104500	432
-104400	426
-104300	434
-104200	439
-104100	467
-104000	458
-103900	458
-103800	444
-103700	463
-103600	446
-103500	451
-103400	422
-103300	434
-103200	418
-103100	433
-103000	457
-102900	422
-102800	445
-102700	424
-102600	431
-102500	431
-102400	459
-102300	420
-102200	419
-102100	449
-102000	490
-101900	393
-101800	460
-101700	445
-101600	475
-101500	439
-101400	438
-101300	464
-101200	430
-101100	452
-101000	416
-100900	469
-100800	440
-100700	441
-100600	438
-100500	441
-100400	437
-100300	401
-100200	434
-100100	416
-100000	455
-99900	442
-99800	435
-99700	455
-99600	425
-99500	485
-99400	446
-99300	409
-99200	449
-99100	419
-99000	420
-98900	424
-98800	456
-98700	456
-98600	447
-98500	451
-98400	417
-98300	472
-98200	429
-98100	447
-98000	430
-97900	426
-97800	414
-97700	474
-97600	445
-97500	473
-97400	448
-97300	443
-97200	416
-97100	419
-97000	459
-96900	431
-96800	406
-96700	461
-96600	439
-96500	432
-96400	441
-96300	438
-96200	460
-96100	426
-96000	440
-95900	455
-95800	442
-95700	422
-95600	461
-95500	407
-95400	451
-95300	459
-95200	476
-95100	477
-95000	408
-94900	446
-94800	421
-94700	408
-94600	417
-94500	451
-94400	449
-94300	470
-94200	484
-94100	428
-94000	451
-93900	474
-93800	442
-93700	452
-93600	454
-93500	412
-93400	440
-93300	485
-93200	443
-93100	451
-93000	469
-92900	449
-92800	417
-92700	463
-92600	470
-92500	410
-92400	405
-92300	425
-92200	467
-92100	459
-92000	446
-91900	471
-91800	440
-91700	457
-91600	437
-91500	478
-91400	464
-91300	445
-91200	461
-91100	436
-91000	419
-90900	473
-90800	461
-90700	406
-90600	444
-90500	433
-90400	444
-90300	446
-90200	431
-90100	468
-90000	435
-89900	462
-89800	451
-89700	420
-89600	462
-89500	432
-89400	424
-89300	433
-89200	448
-89100	461
-89000	473
-88900	402
-88800	487
-88700	455
-88600	458
-88500	435
-88400	440
-88300	462
-88200	464
-88100	456
-88000	441
-87900	500
-87800	452
-87700	471
-87600	436
-87500	430
-87400	465
-87300	440
-87200	457
-87100	461
-87000	407
-86900	438
-86800	453
-86700	462
-86600	439
-86500	449
-86400	462
-86300	442
-86200	452
-86100	430
-86000	467
-85900	442
-85800	455
-85700	439
-85600	475
-85500	463
-85400	451
-85300	468
-85200	447
-85100	462
-85000	457
-84900	475
-84800	457
-84700	442
-84600	438
-84500	468
-84400	467
-84300	484
-84200	489
-84100	450
-84000	416
-83900	449
-83800	444
-83700	443
-83600	474
-83500	473
-83400	461
-83300	468
-83200	477
-83100	468
-83000	453
-82900	446
-82800	463
-82700	452
-82600	438
-82500	438
-82400	445
-82300	463
-82200	490
-82100	457
-82000	428
-81900	431
-81800	440
-81700	450
-81600	464
-81500	462
-81400	431
-81300	425
-81200	428
-81100	418
-81000	476
-80900	425
-80800	449
-80700	444
-80600	453
-80500	458
-80400	429
-80300	422
-80200	465
-80100	467
-80000	452
-79900	446
-79800	467
-79700	513
-79600	444
-79500	481
-79400	449
-79300	472
-79200	477
-79100	457
-79000	445
-78900	534
-78800	459
-78700	495
-78600	488
-78500	450
-78400	485
-78300	458
-78200	462
-78100	473
-78000	446
-77900	436
-77800	456
-77700	471
-77600	484
-77500	497
-77400	453
-77300	447
-77200	451
-77100	427
-77000	471
-76900	440
-76800	465
-76700	427
-76600	432
-76500	459
-76400	495
-76300	454
-76200	455
-76100	425
-76000	465
-75900	452
-75800	437
-75700	452
-75600	453
-75500	442
-75400	471
-75300	464
-75200	432
-75100	427
-75000	499
-74900	450
-74800	463
-74700	487
-74600	434
-74500	467
-74400	482
-74300	474
-74200	434
-74100	463
-74000	426
-73900	467
-73800	461
-73700	455
-73600	453
-73500	437
-73400	446
-73300	475
-73200	467
-73100	463
-73000	499
-72900	478
-72800	455
-72700	450
-72600	468
-72500	459
-72400	480
-72300	466
-72200	458
-72100	488
-72000	428
-71900	465
-71800	476
-71700	469
-71600	481
-71500	448
-71400	473
