"Time differences (ps)"	"Counts per bin"
-150000	207
-149900	212
-149800	192
-149700	182
-149600	198
-149500	200
-149400	208
-149300	236
-149200	217
-149100	200
-149000	229
-148900	216
-148800	200
-148700	221
-148600	218
-148500	252
-148400	220
-148300	207
-148200	242
-148100	196
-148000	229
-147900	210
-147800	244
-147700	175
-147600	218
-147500	192
-147400	200
-147300	192
-147200	211
-147100	214
-147000	220
-146900	190
-146800	216
-146700	195
-146600	219
-146500	212
-146400	248
-146300	204
-146200	213
-146100	215
-146000	216
-145900	210
-145800	196
-145700	202
-145600	238
-145500	214
-145400	229
-145300	206
-145200	235
-145100	213
-145000	220
-144900	209
-144800	239
-144700	206
-144600	221
-144500	210
-144400	237
-144300	224
-144200	195
-144100	194
-144000	223
-143900	230
-143800	208
-143700	198
-143600	215
-143500	184
-143400	206
-143300	193
-143200	219
-143100	226
-143000	222
-142900	222
-142800	189
-142700	218
-142600	213
-142500	208
-142400	219
-142300	201
-142200	201
-142100	185
-142000	208
-141900	197
-141800	226
-141700	194
-141600	238
-141500	180
-141400	240
-141300	200
-141200	219
-141100	233
-141000	199
-140900	206
-140800	204
-140700	200
-140600	227
-140500	215
-140400	239
-140300	205
-140200	225
-140100	203
-140000	222
-139900	218
-139800	194
-139700	214
-139600	212
-139500	234
-139400	223
-139300	192
-139200	259
-139100	211
-139000	208
-138900	213
-138800	219
-138700	226
-138600	218
-138500	218
-138400	231
-138300	218
-138200	221
-138100	221
-138000	228
-137900	215
-137800	214
-137700	208
-137600	219
-137500	215
-137400	227
-137300	215
-137200	234
-137100	238
-137000	196
-136900	226
-136800	218
-136700	222
-136600	227
-136500	195
-136400	216
-136300	186
-136200	218
-136100	238
-136000	206
-135900	219
-135800	219
-135700	192
-135600	231
-135500	198
-135400	201
-135300	229
-135200	207
-135100	215
-135000	200
-134900	235
-134800	223
-134700	199
-134600	204
-134500	233
-134400	232
-134300	202
-134200	214
-134100	216
-134000	203
-133900	196
-133800	236
-133700	214
-133600	207
-133500	200
-133400	237
-133300	225
-133200	202
-133100	195
-133000	210
-132900	221
-132800	226
-132700	214
-132600	193
-132500	238
-132400	238
-132300	214
-132200	217
-132100	219
-132000	223
-131900	213
-131800	210
-131700	231
-131600	230
-131500	202
-131400	248
-131300	209
-131200	240
-131100	204
-131000	228
-130900	211
-130800	201
-130700	201
-130600	237
-130500	210
-130400	184
-130300	222
-130200	209
-130100	232
-130000	227
-129900	249
-129800	210
-129700	237
-129600	222
-129500	207
-129400	229
-129300	218
-129200	211
-129100	189
-129000	216
-128900	216
-128800	217
-128700	213
-128600	242
-128500	228
-128400	210
-128300	201
-128200	237
-128100	202
-128000	213
-127900	227
-127800	220
-127700	203
-127600	198
-127500	201
-127400	247
-127300	209
-127200	205
-127100	201
-127000	237
-126900	205
-126800	216
-126700	203
-126600	210
-126500	250
-126400	248
-126300	199
-126200	225
-126100	221
-126000	244
-125900	213
-125800	231
-125700	228
-125600	244
-125500	195
-125400	220
-125300	238
-125200	210
-125100	239
-125000	216
-124900	217
-124800	210
-124700	215
-124600	242
-124500	225
-124400	198
-124300	210
-124200	203
-124100	211
-124000	217
-123900	208
-123800	231
-123700	242
-123600	231
-123500	215
-123400	239
-123300	208
-123200	251
-123100	208
-123000	258
-122900	211
-122800	231
-122700	243
-122600	225
-122500	242
-122400	218
-122300	225
-122200	227
-122100	220
-122000	230
-121900	249
-121800	266
-121700	212
-121600	228
-121500	213
-121400	219
-121300	194
-121200	201
-121100	220
-121000	234
-120900	216
-120800	225
-120700	214
-120600	236
-120500	248
-120400	256
-120300	235
-120200	215
-120100	203
-120000	226
-119900	267
-119800	214
-119700	212
-119600	219
-119500	205
-119400	208
-119300	256
-119200	212
-119100	199
-119000	224
-118900	229
-118800	213
-118700	238
-118600	226
-118500	228
-118400	212
-118300	259
-118200	243
-118100	241
-118000	219
-117900	222
-117800	223
-117700	189
-117600	190
-117500	233
-117400	220
-117300	237
-117200	221
-117100	237
-117000	213
-116900	212
-116800	252
-116700	213
-116600	216
-116500	234
-116400	214
-116300	212
-116200	218
-116100	212
-116000	224
-115900	209
-115800	191
-115700	221
-115600	226
-115500	209
-115400	237
-115300	210
-115200	234
-115100	217
-115000	173
-114900	222
-114800	226
-114700	232
-114600	198
-114500	240
-114400	220
-114300	237
-114200	225
-114100	246
-114000	231
-113900	243
-113800	230
-113700	241
-113600	216
-113500	218
-113400	249
-113300	200
-113200	227
-113100	222
-113000	230
-112900	198
-112800	224
-112700	218
-112600	244
-112500	224
-112400	231
-112300	230
-112200	203
-112100	216
-112000	230
-111900	237
-111800	213
-111700	230
-111600	211
-111500	216
-111400	235
-111300	255
-111200	221
-111100	226
-111000	237
-110900	226
-110800	228
-110700	231
-110600	226
-110500	246
-110400	239
-110300	257
-110200	226
-110100	221
-110000	214
-109900	198
-109800	238
-109700	255
-109600	186
-109500	227
-109400	230
-109300	241
-109200	220
-109100	214
-109000	217
-108900	243
-108800	233
-108700	231
-108600	244
-108500	263
-108400	223
-108300	219
-108200	250
-108100	238
-108000	208
-107900	236
-107800	211
-107700	234
-107600	222
-107500	256
-107400	244
-107300	239
-107200	232
-107100	233
-107000	229
-106900	238
-106800	271
-106700	230
-106600	251
-106500	201
-106400	238
-106300	231
-106200	220
-106100	226
-106000	218
-105900	232
-105800	227
-105700	213
-105600	220
-105500	214
-105400	225
-105300	203
-105200	221
-105100	245
-105000	250
-104900	219
-104800	248
-104700	236
-104600	202
-104500	219
-104400	242
-104300	230
-104200	232
-104100	218
-104000	224
-103900	251
-103800	234
-103700	219
-103600	230
-103500	226
-103400	239
-103300	230
-103200	255
-103100	242
-103000	228
-102900	231
-102800	245
-102700	243
-102600	229
-102500	189
-102400	246
-102300	219
-102200	213
-102100	252
